price,url,building,price_unit
150,http://www.haozu.com/gz_xzl_1468/,天盈广场,元/m²⋅月
140,http://www.haozu.com/gz_xzl_4231/,中信广场,元/m²⋅月
135,http://www.haozu.com/gz_xzl_5157/,星汇国际,元/m²⋅月
110,http://www.haozu.com/gz_xzl_2300/,富力盈隆广场,元/m²⋅月
80,http://www.haozu.com/gz_xzl_9264/,长兴·智汇商务中心,元/m²⋅月
150,http://www.haozu.com/gz_xzl_2072/, 富力盈信大厦,元/m²⋅月
69,http://www.haozu.com/gz_xzl_888/,粤海集团大厦,元/m²⋅月
125,http://www.haozu.com/gz_xzl_2366/,广州国德大厦,元/m²⋅月
100,http://www.haozu.com/gz_xzl_3719/,信德商务大厦,元/m²⋅月
200,http://www.haozu.com/gz_xzl_1443/,太古汇,元/m²⋅月
82.1,http://www.haozu.com/gz_xzl_3013/,琶洲商业广场,元/m²⋅月
150,http://www.haozu.com/gz_xzl_5371/,远洋大厦（广州）,元/m²⋅月
110,http://www.haozu.com/gz_xzl_1782/,南方铁道大厦,元/m²⋅月
180,http://www.haozu.com/gz_xzl_9784/,珠光·新城国际中心,元/m²⋅月
100,http://www.haozu.com/gz_xzl_17044/,天河软件园科韵路园区,元/m²⋅月
95,http://www.haozu.com/gz_xzl_931/,威尼国际大厦,元/m²⋅月
95,http://www.haozu.com/gz_xzl_9123/,信龙大厦,元/m²⋅月
70,http://www.haozu.com/gz_xzl_1781/,丰伟大厦,元/m²⋅月
190,http://www.haozu.com/gz_xzl_1170/,万菱国际中心,元/m²⋅月
160,http://www.haozu.com/gz_xzl_1286/,雅居乐中心,元/m²⋅月
1200,http://www.haozu.com/gz_gxbg_58/,联我（天河 软件园店）,元/工位/月
500,http://www.haozu.com/gz_gxbg_419/,轻云客（中南活力创意园）,元/工位/月
112.9,http://www.haozu.com/gz_xzl_5169/,环球都会广场,元/m²⋅月
145,http://www.haozu.com/gz_xzl_1451/,邦华环球广场,元/m²⋅月
70,http://www.haozu.com/gz_xzl_4558/,百汇广场,元/m²⋅月
102,http://www.haozu.com/gz_xzl_1832/,中华国际中心,元/m²⋅月
150,http://www.haozu.com/gz_xzl_4957/,广晟大厦,元/m²⋅月
95,http://www.haozu.com/gz_xzl_2473/,星光映景,元/m²⋅月
100,http://www.haozu.com/gz_xzl_1191/,富力天河商务大厦,元/m²⋅月
70,http://www.haozu.com/gz_xzl_17177/,大家庭花园,元/m²⋅月
120,http://www.haozu.com/gz_xzl_1702/,高盛大厦,元/m²⋅月
95,http://www.haozu.com/gz_xzl_23513/,南天广场,元/m²⋅月
106.5,http://www.haozu.com/gz_xzl_1065/,隆德大厦,元/m²⋅月
180,http://www.haozu.com/gz_xzl_19278/,凯华国际中心,元/m²⋅月
18,http://www.haozu.com/gz_xzl_1899/,越秀金融大厦,元/m²⋅月
80,http://www.haozu.com/gz_xzl_28202/,合景星辉广场,元/m²⋅月
80,http://www.haozu.com/gz_xzl_21228/,中泰北塔大厦,元/m²⋅月
130,http://www.haozu.com/gz_xzl_1914/,津滨腾越大厦,元/m²⋅月
60,http://www.haozu.com/gz_xzl_17108/,盛达商务园,元/m²⋅月
120,http://www.haozu.com/gz_xzl_18521/,美林基业大厦,元/m²⋅月
120,http://www.haozu.com/gz_xzl_2548/,保利国际广场,元/m²⋅月
120,http://www.haozu.com/gz_xzl_19721/,天伦控股大厦,元/m²⋅月
100,http://www.haozu.com/gz_xzl_3292/,宜安广场,元/m²⋅月
