url,price,building
http://gz.kongjianjia.com/xiezilou/114335,8.3,广州国际金融中心
http://gz.kongjianjia.com/xiezilou/114763,8.87,广州富力中心
http://gz.kongjianjia.com/xiezilou/114488,6.64,富力盈凯广场
http://gz.kongjianjia.com/xiezilou/124637,3.5,广州建和大厦
http://gz.kongjianjia.com/xiezilou/114033,8.89,广州周大福金融中心
http://gz.kongjianjia.com/xiezilou/114311,5.83,环球都会广场
http://gz.kongjianjia.com/xiezilou/114927,5.6,高德置地广场
http://gz.kongjianjia.com/xiezilou/114790,5.65,广州远洋大厦
http://gz.kongjianjia.com/xiezilou/114799,3.33,双城国际大厦
http://gz.kongjianjia.com/xiezilou/114367,5.01,保利威座大厦
http://gz.kongjianjia.com/xiezilou/120410,4.99,保利V座
http://gz.kongjianjia.com/xiezilou/114794,4.33,广州保利中心
http://gz.kongjianjia.com/xiezilou/114369,5,珠江城
http://gz.kongjianjia.com/xiezilou/114761,6.33,雅居乐中心
http://gz.kongjianjia.com/xiezilou/114858,6.82,广州越秀金融中心大厦
http://gz.kongjianjia.com/xiezilou/114792,6.03,广晟国际大厦
http://gz.kongjianjia.com/xiezilou/114480,5.6,富力盈信大厦
http://gz.kongjianjia.com/xiezilou/114322,12.84,广州银行大厦
http://gz.kongjianjia.com/xiezilou/114757,3.33,华普广场
http://gz.kongjianjia.com/xiezilou/114809,5.7,广州天盈广场
http://gz.kongjianjia.com/xiezilou/114800,5.38,富力盈通大厦
http://gz.kongjianjia.com/xiezilou/114233,6.44,利通广场
http://gz.kongjianjia.com/xiezilou/114365,6.04,汇美大厦
http://gz.kongjianjia.com/xiezilou/118875,4.36,星汇国际大厦
http://gz.kongjianjia.com/xiezilou/114041,4.69,保利克洛维中盈大厦
http://gz.kongjianjia.com/xiezilou/130435,3.82,江湾新城商业中心
http://gz.kongjianjia.com/xiezilou/116648,4.22,津滨腾越大厦
http://gz.kongjianjia.com/xiezilou/120099,4.89,广州289创意园
http://gz.kongjianjia.com/xiezilou/114788,6,广州邦华环球广场
http://gz.kongjianjia.com/xiezilou/114783,4.83,富力盈隆广场
http://gz.kongjianjia.com/xiezilou/114399,4.54,保利克洛维中景大厦
http://gz.kongjianjia.com/xiezilou/114489,4.06,富力盈力大厦
http://gz.kongjianjia.com/xiezilou/114231,4.98,珠控国际中心
http://gz.kongjianjia.com/xiezilou/116663,4.92,富力盈东国际
http://gz.kongjianjia.com/xiezilou/139689,7.56,广州设计大厦
http://gz.kongjianjia.com/xiezilou/114483,4.83,富力盈泰广场
http://gz.kongjianjia.com/xiezilou/140266,3.83,维多利大厦
http://gz.kongjianjia.com/xiezilou/120275,6.5,粤海天河城大厦
http://gz.kongjianjia.com/xiezilou/127061,6.39,广州创展中心
http://gz.kongjianjia.com/xiezilou/132498,6.2,万菱国际中心
http://gz.kongjianjia.com/xiezilou/123993,5.26,宏发大厦
http://gz.kongjianjia.com/xiezilou/119232,3.83,广州财富世纪广场
http://gz.kongjianjia.com/xiezilou/114855,4.35,广州高志大厦
http://gz.kongjianjia.com/xiezilou/114762,5.04,维多利广场
http://gz.kongjianjia.com/xiezilou/121765,18.97,琶醍啤酒文化创意园艺术区
http://gz.kongjianjia.com/xiezilou/116970,4.62,保利丰兴广场
http://gz.kongjianjia.com/xiezilou/114831,16.69,太古汇大厦
http://gz.kongjianjia.com/xiezilou/119113,4,广州高盛大厦
http://gz.kongjianjia.com/xiezilou/119275,6.62,壬丰大厦
http://gz.kongjianjia.com/xiezilou/116646,4,羊城国际商贸中心
http://gz.kongjianjia.com/xiezilou/133454,4.15,天伦大厦
http://gz.kongjianjia.com/xiezilou/114842,5,富力盈盛广场
http://gz.kongjianjia.com/xiezilou/119436,4.34,广州国德大厦
http://gz.kongjianjia.com/xiezilou/155971,3.33,富海大厦
http://gz.kongjianjia.com/xiezilou/144305,4,天誉商务大厦
http://gz.kongjianjia.com/xiezilou/120087,2.53,泰兴商业大厦
http://gz.kongjianjia.com/xiezilou/116214,4.44,广州城建大厦
http://gz.kongjianjia.com/xiezilou/114840,4.78,广州圣丰广场
http://gz.kongjianjia.com/xiezilou/119269,3.2,广州南方证券大厦
http://gz.kongjianjia.com/xiezilou/161015,3,财智大厦
http://gz.kongjianjia.com/xiezilou/114669,4.19,中石化大厦
http://gz.kongjianjia.com/xiezilou/120075,4.17,平安大厦
http://gz.kongjianjia.com/xiezilou/114680,4.67,大都会广场
http://gz.kongjianjia.com/xiezilou/118490,3.83,宝境广场
http://gz.kongjianjia.com/xiezilou/139980,11.82,新达城广场
http://gz.kongjianjia.com/xiezilou/114691,5.54,中信广场
http://gz.kongjianjia.com/xiezilou/114782,5.74,耀中广场
